Time(s),CH1V,CH2V
4.050000e+01,2.283467e-01,-1.148667e+01
4.060000e+01,1.795733e-01,-1.154600e+01
4.070000e+01,2.317067e-01,-1.140000e+01
4.080000e+01,2.333333e-01,-1.138267e+01
4.090000e+01,2.408533e-01,-1.143867e+01
4.100000e+01,2.292800e-01,-1.139467e+01
4.110000e+01,2.255733e-01,-1.138267e+01
4.120000e+01,2.365067e-01,-1.151267e+01
4.130000e+01,2.347733e-01,-1.144400e+01
4.140000e+01,1.481333e-01,-1.173267e+01
4.150000e+01,2.322133e-01,-1.128600e+01
4.160000e+01,2.324533e-01,-1.126733e+01
4.170000e+01,2.253867e-01,-1.134800e+01
4.180000e+01,2.264267e-01,-1.147467e+01
4.190000e+01,2.332000e-01,-1.148267e+01
4.200000e+01,2.280000e-01,-1.141267e+01
4.210000e+01,2.283467e-01,-1.148000e+01
4.220000e+01,2.293867e-01,-1.146867e+01
4.230000e+01,2.177333e-01,-1.148533e+01
4.240000e+01,2.163467e-01,-1.162400e+01
4.250000e+01,2.222133e-01,-1.146733e+01
4.260000e+01,2.168267e-01,-1.151400e+01
4.270000e+01,2.236533e-01,-1.143600e+01
4.280000e+01,2.280533e-01,-1.141400e+01
4.290000e+01,2.382400e-01,-1.133733e+01
4.300000e+01,2.258667e-01,-1.147867e+01
4.310000e+01,2.207467e-01,-1.147133e+01
4.320000e+01,2.278133e-01,-1.145933e+01
4.330000e+01,2.259200e-01,-1.130667e+01
4.340000e+01,2.304267e-01,-1.152800e+01
4.350000e+01,2.410400e-01,-1.138667e+01
4.360000e+01,2.281600e-01,-1.150200e+01
4.370000e+01,2.264267e-01,-1.139200e+01
4.380000e+01,2.237067e-01,-1.142333e+01
4.390000e+01,2.227200e-01,-1.135333e+01
4.400000e+01,2.321600e-01,-1.139733e+01
4.410000e+01,2.303733e-01,-1.126467e+01
4.420000e+01,2.205867e-01,-1.138533e+01
4.430000e+01,2.261333e-01,-1.150200e+01
4.440000e+01,2.260800e-01,-1.153733e+01
4.450000e+01,2.209333e-01,-1.145800e+01
4.460000e+01,2.273600e-01,-1.126867e+01
4.470000e+01,1.725067e-01,-1.130933e+01
4.480000e+01,2.324000e-01,-1.135933e+01
4.490000e+01,2.126400e-01,-1.143333e+01
4.500000e+01,2.298400e-01,-1.143067e+01
4.510000e+01,2.198400e-01,-1.137267e+01
4.520000e+01,2.239467e-01,-1.135800e+01
4.530000e+01,2.210400e-01,-1.147000e+01
4.540000e+01,2.292267e-01,-1.154267e+01
4.550000e+01,2.264800e-01,-1.134133e+01
4.560000e+01,2.237600e-01,-1.152667e+01
4.570000e+01,2.264800e-01,-1.129333e+01
4.580000e+01,2.535467e-01,-1.116267e+01
4.590000e+01,2.332000e-01,-1.145133e+01
4.600000e+01,2.356533e-01,-1.110400e+01
4.610000e+01,2.284000e-01,-1.145800e+01
4.620000e+01,2.305333e-01,-1.138133e+01
4.630000e+01,2.311733e-01,-1.149333e+01
4.640000e+01,2.156533e-01,-1.190533e+01
4.650000e+01,2.260267e-01,-1.138533e+01
4.660000e+01,2.239467e-01,-1.138400e+01
4.670000e+01,2.314667e-01,-1.141667e+01
4.680000e+01,2.264800e-01,-1.128600e+01
4.690000e+01,2.263733e-01,-1.135800e+01
4.700000e+01,2.160000e-01,-1.147133e+01
4.710000e+01,2.230133e-01,-1.145533e+01
4.720000e+01,2.293867e-01,-1.129200e+01
4.730000e+01,2.189067e-01,-1.162800e+01
4.740000e+01,2.276000e-01,-1.139467e+01
4.750000e+01,2.374400e-01,-1.147133e+01
4.760000e+01,2.246400e-01,-1.148133e+01
4.770000e+01,2.359200e-01,-1.127667e+01
4.780000e+01,2.138667e-01,-1.126467e+01
4.790000e+01,2.280533e-01,-1.147600e+01
4.800000e+01,2.319467e-01,-1.138133e+01
4.810000e+01,2.277067e-01,-1.144133e+01
4.820000e+01,2.336800e-01,-1.136333e+01
4.830000e+01,2.269600e-01,-1.134133e+01
4.840000e+01,2.154933e-01,-1.143467e+01
4.850000e+01,2.336800e-01,-1.155933e+01
